.geo,LST,NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,dewPoint,WindSpeed,Rainfall,WaterDistance,BuiltupDensity
"{""type"":""Point"",""coordinates"":[77.01152951454101,28.735644059061553]}",40.64641628000004,0.28791469194312796,-0.0365455566858479,13381.5,214,118.01256561279297,50,29.57816699241107,,0.8131034122325186,652.8773956801742,193,5
"{""type"":""Point"",""coordinates"":[77.38984386911326,28.449820575115258]}",39.788493259999996,0.1659176029962547,0.009647319310453898,15680.333333333334,200,9.686556816101074,40,29.494703093029216,,0.8274036985607861,633.2429181147997,1089,2
"{""type"":""Point"",""coordinates"":[77.19353531169433,28.932361723775685]}",35.41171865000001,0.2878691849410572,-0.043943661971830986,13038.333333333334,214,3.6728131771087646,40,29.395102660909288,,1.029567273669195,800.2787463609129,260,2
"{""type"":""Point"",""coordinates"":[77.24153206928098,28.462621043937563]}",36.471304850000024,0.5552638487792071,-0.12988834979832817,12685.25,279,8.772109985351562,20,29.297527791117602,,0.7866243703188661,692.7388915917836,1189,2
"{""type"":""Point"",""coordinates"":[77.13099217486644,28.647531309589837]}",38.40932219000001,0.2560562646522532,-0.05415210078490865,12676.666666666666,218,164.9159698486328,50,29.48856291159609,,0.800208678714508,677.8599161375314,305,6
"{""type"":""Point"",""coordinates"":[76.97039873446118,28.90477795803458]}",39.23477402000003,0.19444122756224666,0.007320423226118062,13589.083333333334,224,2.410931348800659,40,29.465502801133596,,0.9228106294692979,700.0509707247838,290,2
"{""type"":""Point"",""coordinates"":[77.21042792663722,28.506705556118668]}",37.78553354000002,0.5766887417218544,-0.11428525982598738,12024.0,238,130.7794647216797,10,29.297527791117602,,0.7866243703188661,677.5225578034297,5450,2
"{""type"":""Point"",""coordinates"":[76.91063651055066,28.898810140343215]}",35.52793133,0.6371888323476825,-0.0744238527288746,12832.5,219,2.06538462638855,40,29.506327942788857,,0.8864319707936228,707.648361183703,1312,2
"{""type"":""Point"",""coordinates"":[76.88374222770001,28.915516752708957]}",38.065811180000026,0.3299101412066752,-0.006429883649724434,13529.333333333334,222,2.257387638092041,60,29.506327942788857,,0.8864319707936228,657.8572924993932,101,2
"{""type"":""Point"",""coordinates"":[76.92319141722264,28.552320356094302]}",47.85843848000002,0.12552891396332863,0.056519385807480844,14877.25,211,8.374229431152344,40,29.71709552806817,,0.7234705111502765,594.8005388118327,493,2
"{""type"":""Point"",""coordinates"":[77.34086075544423,28.984568429598127]}",35.05453555999998,0.22481302243730752,-0.05611420362722212,13252.916666666666,223,2.7120232582092285,40,29.18405874063683,,1.0889018500749688,849.2856198279187,1160,2
"{""type"":""Point"",""coordinates"":[76.9715165048666,28.7645126999309]}",38.30165456000003,0.4095373665480427,-0.06073812905016078,12454.666666666666,213,14.130327224731445,40,29.52325592041018,,0.8770010484505348,664.5882404092699,580,2
